,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1816,1817,2019-05-30,2019-05-30,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NO
1817,1818,2019-05-23,2019-05-26,4,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BN
1818,1819,2019-05-24,2019-05-24,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MC
1819,1820,2019-02-14,2019-11-06,118,22,1,128,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CZ
1820,1821,2019-06-16,2019-06-16,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1821,1822,2019-06-16,2019-06-16,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TN
1822,1823,2019-05-06,2019-06-16,12,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1824,1825,2019-09-06,2019-06-16,8,5,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ITA,FE
1827,1828,2018-07-23,2019-12-06,325,46,2,86,143,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA,TV
1829,1830,2019-05-20,2019-05-20,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
1830,1831,2019-06-06,2019-06-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CL
1831,1832,2019-06-13,2019-06-16,4,4,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CH
1832,1833,2019-05-31,2019-05-31,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CZ
1833,1834,2019-05-21,2019-05-21,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1834,1835,2019-05-26,2019-05-26,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BS
1836,1837,2019-05-23,2019-05-23,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1837,1838,2019-12-05,2019-07-06,27,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1839,1840,2019-05-06,2019-05-06,1,1,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TA
1841,1842,2019-05-27,2019-05-27,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1842,1843,2019-05-18,2019-06-15,29,26,2,86,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,LI
1843,1844,2019-05-20,2019-05-20,1,1,2,86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1845,1846,2019-05-04,2019-12-06,69,21,2,86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1846,1847,2019-05-06,2019-05-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,GE
1847,1848,2019-04-26,2019-06-14,50,10,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VT
1848,1849,2019-05-16,2019-05-19,4,2,2,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PD
1850,1851,2019-05-25,2019-08-06,15,4,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PG
1851,1852,2019-11-05,2019-05-20,10,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SV
