,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1507,5164,2019-10-06 00:00:00.000000,2019-10-06 00:00:00.000000,1,1,2.0,11.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1508,5168,2019-05-13 00:00:00.000000,2019-05-17 00:00:00.000000,5,3,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1509,5171,2019-06-14 00:00:00.000000,2019-06-14 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1510,5173,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,2.0,156.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1511,5175,2018-12-26 00:00:00.000000,2019-06-16 00:00:00.000000,173,35,1.0,*,133.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1512,5178,2019-05-22 00:00:00.000000,2019-05-31 00:00:00.000000,10,2,2.0,86.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1513,5184,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1514,5186,2019-05-21 00:00:00.000000,2019-05-25 00:00:00.000000,5,2,5.0,128.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1515,5188,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1516,5192,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,2.0,255.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1517,5193,2019-11-04 00:00:00.000000,2019-05-21 00:00:00.000000,41,4,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1518,5194,2019-05-17 00:00:00.000000,2019-05-17 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1519,5205,2019-06-06 00:00:00.000000,2019-06-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1520,5209,2019-05-21 00:00:00.000000,2019-05-21 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1521,5210,2019-03-06 00:00:00.000000,2019-06-15 00:00:00.000000,13,4,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
