?uuid,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta
2198,07/03/19,02/06/19,88,14,1,173,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
2199,07/08/18,16/06/19,314,236,,,,1,0,9,1,0,3,0,0,0,1,1,2,0,3,0,0,0,1,ITA-RM
2200,12/06/19,12/06/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-AQ
2201,19/07/18,14/06/19,331,112,1,173,133,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,0,0,1,ITA-BR
2202,18/03/19,05/06/19,80,7,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2203,26/10/17,16/06/19,599,130,2,86,1,0,0,0,0,0,3,0,0,1,0,0,38,0,0,0,0,0,0,ITA-MI
2204,13/06/19,16/06/19,4,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PE
2205,21/05/19,13/06/19,24,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2206,30/06/18,30/05/19,335,83,1,173,133,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,ITA-MI
2207,03/06/19,05/06/19,3,3,2,253,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TV
2208,21/12/18,05/06/19,167,34,2,11,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-UD
2209,14/02/19,11/06/19,118,44,1,128,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,ITA-RM
2210,11/02/19,04/06/19,114,55,1,128,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,ITA-VR
2211,23/05/19,23/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FI
2212,28/05/19,28/05/19,1,1,2,156,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2213,30/03/19,17/05/19,49,5,2,86,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CZ
2214,25/11/18,25/05/19,182,30,5,227,132,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ITA-TA
2215,01/06/19,15/06/19,15,9,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2216,20/05/19,20/05/19,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
2217,06/06/19,07/06/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
2218,14/06/19,14/06/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-AN
2219,21/05/19,21/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FG
2220,21/06/18,14/06/19,359,43,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2221,26/05/19,26/05/19,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
2222,03/05/19,08/06/19,37,3,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BA
2223,11/05/19,14/06/19,35,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PN
2224,15/06/19,15/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2225,03/06/19,03/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CH
2226,27/05/19,27/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2227,18/05/19,18/05/19,1,1,1,161,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LT
2228,10/06/19,10/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2229,16/05/19,16/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
2230,11/06/19,11/06/19,1,1,5,228,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ITA-GE
2231,06/04/19,15/06/19,71,26,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
2232,16/06/18,15/06/19,365,253,2,251,,15,1,15,0,3,191,0,0,0,0,2,1,1,0,3,1,0,0,ITA-RM
2233,24/03/19,15/06/19,84,60,2,253,20,0,1,0,0,0,16,0,0,0,0,8,1,0,0,0,0,0,41,ITA-MB
2234,17/05/19,17/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235,10/06/19,15/06/19,6,2,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2236,09/03/19,29/05/19,82,14,2,86,144,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2237,07/06/19,07/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BL
2238,26/05/19,06/06/19,12,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2239,02/01/19,12/06/19,162,36,1,173,133,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ITA-TS
2240,26/03/19,15/06/19,82,10,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2241,17/05/19,06/06/19,21,2,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2242,07/05/19,02/06/19,27,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2243,02/06/19,02/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
